location,sub_location,site,year,Acanthastrea,Acropora,Astreopora,Cyphastrea,Danafungia,Dipsastrea,Fungiidae_un,Gardineroseris,Herpolitha,Leptastrea,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Millepora,Montipora,Pachyseris,Pavona,Phymastrea,Plesiastrea,Pleuractis,Pocillopora,Porites,Porites_spp_Massive,Poritesirregularis,Poritesrus,Psammocora,Sandolitha,Stylocoeniella,Tubastrea
French_Polynesia,Moorea,LTER2_Outer_10,2008,0.0125,0.0125,0,0,0,0,0.0125,0.1,0,0.0125,0,0,0,0,1.1025,0.1625,0,0.05,0.1375,0,0,2.8375,4.84,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Outer_17,2008,0,0,0,0.013157895,0,0,0.039473684,0.013157895,0.039473684,0,0,0,0,0,0.465789474,0.039473684,0,0.157894737,0.039473684,0,0,0.947368421,13.42368421,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Fringing,2008,0,2.0975,0,0,0,0,0.0375,0.0375,0,0.1,0,0,0,0,0.1,4.3575,0,17.0975,0.0125,0,0,0,4.1675,0,0,0,0,0,0,0.0125
French_Polynesia,Moorea,LTER3_Outer_10,2008,0,0.3525,0.125,0.05,0,0.2875,0.25,0.1125,0.1875,0.2125,0,0,0,0,0.19,0.1125,0,0.175,0.4625,0,0,4.265,3.4875,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Outer_17,2008,0,0,0,0,0,0.027027027,0.472972973,0.054054054,0.564864865,0.013513514,0,0,0,0.013513514,0,0.027027027,0,0.162162162,0.108108108,0,0,0.651351351,0.521621622,0,0,0,0,0.027027027,0,0
French_Polynesia,Moorea,LTER4_Fringing,2008,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,24.1825,0,0.1375,0,0,0,0.0125,4.3775,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_10,2008,0.026315789,5.357894737,0.013157895,0.013157895,0,0.026315789,0,0.131578947,0,0.473684211,0,0,0,0,3.318421053,4.352631579,0,0.684210526,0.763157895,0,0,19.20789474,1.205263158,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_17,2008,0.025641026,3.223076923,0,0,0,0,0.143589744,0.102564103,0.012820513,0.153846154,0,0,0,0,0.282051282,0.553846154,0,0.5,0.507692308,0,0,13.55897436,0.966666667,0,0,0,0.012820513,0,0.051282051,0
French_Polynesia,Moorea,LTER5_Fringing,2008,0,0.013157895,0,0,0,0,0.105263158,0,0,0.026315789,0,0,0,0,0,0.186842105,0,0.739473684,0,0,0,0.134210526,43.82894737,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_10,2008,0,2.516666667,0.975,0,0,0.027777778,0.069444444,0.097222222,0.013888889,1.230555556,0,0,0,0,0,5.777777778,0,0.152777778,0.444444444,0,0,17.36666667,3.058333333,0,0,0,0.027777778,0,0,0
French_Polynesia,Moorea,LTER5_Outer_17,2008,0.0125,0.5125,0.0125,0,0,0,0,0.075,0,0.465,0,0,0,0,0.065,0.82,0,0.29,0.8175,0,0,7.38,8.03,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Fringing,2008,0,0,0,0,0,0,0.115384615,0,0,0,0,0,0,0,0,5.133333333,0,11.13589744,0,0,0,0.723076923,0.012820513,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_10,2008,0,1.266666667,0.217948718,0.012820513,0,0,0.012820513,0.012820513,0,0.517948718,0,0,0,0.012820513,1.51025641,1.825641026,0,0.530769231,0.438461538,0,0,18.47435897,1.143589744,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_17,2008,0.0125,0.0375,0,0,0,0.0375,0.0125,0.1125,0.0125,0.25,0.0125,0,0,0.025,0,0.465,0,0.1875,0.5775,0,0,1.8,0.58,0,0,0,0,0,0.025,0
French_Polynesia,Moorea,LTER1_Fringing,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,34.865,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Outer_10,2009,0,0.027027027,0,0,0,0,0,0.067567568,0,0.027027027,0,0,0,0,0.440540541,0.040540541,0,0.040540541,0.083783784,0,0,3.024324324,3.105405405,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Outer_17,2009,0,0,0,0,0,0,0.027027027,0,0,0.013513514,0,0,0,0,1.486486486,0,0,0.013513514,0.121621622,0,0,0.135135135,4.42972973,0,0,0,0.013513514,0,0,0
French_Polynesia,Moorea,LTER2_Fringing,2009,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.32,0,0.145,0,0,0,0.025,43.8075,0,0,0,0,0,0,0
