Location,Sub_location,Site_name,Year,Orbicella_annularis,Agaricia_agaricites,Agaricia_humilis,Colpophyllia_natans,Dendrogyra_cylindrica,Dichocoenia_stokesii,Diploria_labyrinthiformis,Pseudodiploria_strigosa,Eusmilia_fastigiata,Favia_fragum,Madracis_decactis,Montastraea_cavernosa,Orbicella_faveolata,Orbicella_franksi,Meandrina_meandrites,Mussa_angulosa,Porites_astreoides,Porites_porites,Stephanocoenia_intersepta,Siderastrea_radians,Siderastrea_siderea,Madracis_mirabilis,Mancina_areolata,Porites_furcata,Mycetophyllia_aliciae,Acropora_cervicornis,Acropora_palmata,Isophyllia_sinuosa,Scolymia_cubensis,Porites_divaricata,Mycetophyllia_lamarckiana,Total_Coral_Cover
USVI,St_John,Europa_Bay,1999,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.00,0.03,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
USVI,St_John,Europa_Bay,2000,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.07,0.00,0.03,1.92,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25
USVI,St_John,Europa_Bay,2001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.13,0.25,0.00,0.00,1.88,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52
USVI,St_John,Europa_Bay,2002,0.00,0.03,0.00,0.00,0.00,0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.03,0.00,1.39,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69
USVI,St_John,Europa_Bay,2003,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.35,0.32,0.04,0.03,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51
USVI,St_John,Europa_Bay,2004,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.14,0.08,0.00,0.03,0.51,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85
USVI,St_John,Europa_Bay,2005,0.00,0.01,0.02,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.25,0.06,0.00,0.09,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47
USVI,St_John,Europa_Bay,2006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.03,0.00,0.00,0.08,0.00,0.23,0.00,0.00,0.04,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30
USVI,St_John,Europa_Bay,2007,0.13,0.00,0.03,0.00,0.00,0.08,0.01,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.06,0.00,0.32,0.03,0.00,0.04,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.45
USVI,St_John,Europa_Bay,2008,0.00,0.03,0.00,0.01,0.00,0.03,0.00,0.08,0.00,0.00,0.01,0.01,0.06,0.00,0.00,0.00,0.19,0.03,0.01,0.06,1.41,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97
USVI,St_John,Europa_Bay,2009,0.00,0.10,0.00,0.00,0.10,0.03,0.03,0.03,0.00,0.00,0.00,0.09,0.00,0.00,0.01,0.00,0.37,0.00,0.00,0.08,1.27,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20
USVI,St_John,Europa_Bay,2010,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.07,0.00,0.03,1.62,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79
